refID,Custom Name,Date,Address,Style,Architect,District,Resident,Description,Image Location 1,Image Caption 1,Image Location 2,Image Caption 2,Image Location 3,Image Caption 3,Image Location 4,Image Caption 4,Rating,Latitude,Longitude,Sequence,Slug
ND-SB-00012,,1880,725 West Jefferson Blvd,Upright-and-wing,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0071.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0072.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.675023,-86.26025,118,nd-sb-00012
ND-SB-00014,,1889,113 Garfield Court,T-plan,,West Washington,,,,,,,,,,,Contributing,41.675637,-86.260376,27,nd-sb-00014
ND-SB-00015,,c.1915,115 Garfield Court,Western bungalow,,West Washington,,,,,,,,,,,Contributing,41.675529,-86.26038,26,nd-sb-00015
ND-SB-00016,,c.1890,121 Garfield Court,Gabled-ell,,West Washington,,,,,,,,,,,Contributing,41.675391,-86.260361,25,nd-sb-00016
ND-SB-00017,"",c.1880,120 Garfield Court,T-plan,"",West Washington,"","","",,"",,"",,"",,Contributing,41.675403,-86.260032,24,nd-sb-00017
ND-SB-00018,,c.1880,116 Garfield Court,T-plan,,West Washington,,,,,,,,,,,Contributing,41.675665,-86.260018,23,nd-sb-00018
ND-SB-00019,,1850,720 West Washington,Federal,,West Washington,,"The Joseph Bartlett House is a cream colored brick house built in 1850. Bartlett wanted to erect something in keeping with his prosperity and in the taste of Eastern American houses. He chose his brother-in-law, Jonathan Webb, a New Hampshire contractor, to be the architect. His design had a strong New England and Greek Revival influences. The original brick central house was added on to in 1926 with a kitchen, dining room and and two additional upstairs bedrooms. The house remained in the Bartlett Family until 1953.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00019-01.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00019-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/CfH-Past Perfect/1000-2000/Full/ph 584.jpg,Image credit: The History Museum,,,Outstanding; Local Landmark,41.67594,-86.2601,22,nd-sb-00019
ND-SB-00020,,1872,721 West Jefferson Blvd,Gabled-ell,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0069.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0070.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.675013,-86.260104,117,nd-sb-00020
ND-SB-00021,,1884,714 West Washington,Queen Anne,"Dirham & Schneider, Architects",West Washington,,"The house was built for Byron A. Birdsell, Superintendent and later Vice Preseident for Birdsell Mfg. Co. In 1897 the house was remodeled by the South Bend Architectural Firm of Dirhum and Schneider. The exterior of the house is in the process of being restored.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00021-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2270.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2271.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,,,Notable,41.676024,-86.259862,21,nd-sb-00021
ND-SB-00022,,1873,710 West Washington,Italianate,,West Washington,,The Martha B. and David Waner House The Warner House bears all of the hallmarks of Italianate architecture which celebrated the rural Italian villa. It displays projecting eaves with ornately fashioned brackets and the intricate spindle work so common to the style. The first floor leaded glass windows also contribute to the beauty of the porch and front facade.,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00022-01.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00022-03.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00022-05.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/HPC Negatives/Full/Negative2273.jpg,Image credit: Historic Preservation Commission of South Bend and St. Joseph County,Outstanding,41.67605,-86.2596,20,nd-sb-00022
ND-SB-00023,,1958,704 West Washington,Modern,,West Washington,,"Law Offices located in a low, one storey brick building with a long gabel roof.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00023-01.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00023-04.jpg,Image credit: University of Notre Dame Architecture Library,,,,,Non-contributing,41.676014,-86.259318,18,nd-sb-00023
ND-SB-00024,,,129 S Scott,Free Classic,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0050 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,,,Outstanding,41.67562,-86.2594,19,nd-sb-00024
ND-SB-00026,Kowalski House,1911,133 S. Scott St,Free Classic,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0051 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0052 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Outstanding,41.675133,-86.25933,113,nd-sb-00026
ND-SB-00027,Winkler Building,1926,135 S. Scott St,Renaissance Revival,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0053 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0054 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0055 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",,,Notable,41.675007,-86.25932,114,nd-sb-00027
ND-SB-00028,,1905,713 West Jefferson Blvd,Upright-and-wing,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0061.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0062.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Non-contributing,41.67499,-86.259778,115,nd-sb-00028
ND-SB-00029,Nylen House,1894,717 West Jefferson Blvd,Gable Front,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0067.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0068.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.674985,-86.259874,116,nd-sb-00029
ND-SB-00041,,c.1890,722 Jefferson Blvd,Gabled-ell,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0065.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0066.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.6747,-86.260074,121,nd-sb-00041
ND-SB-00042,Kelly House,1912,718 Jefferson Blvd,Prairie,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0063.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0064.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.674683,-86.259909,122,nd-sb-00042
ND-SB-00045,Sosnowski House,1905,716 West Wayne Street,Free Classic,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0060 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0061 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.673722,-86.259759,108,nd-sb-00045
ND-SB-00048,Gross House,1908,708 West Wayne Street,Free Classic,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0058 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0059 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.673701,-86.25944,107,nd-sb-00048
ND-SB-00050,,1902,920 West Washington,Free Classic,Freyermuth & Maurer,West Washington,,"This house was moved in 1979 from its original location at 524 N. Lafayette. It was designed local architects George W. Freyermuth and R. Vernon Maurer and built by Charles Martin for Luzetta Fox Bowman.  This Queen Anne/Free Classic has a long front porch with a low hip roof supported by a frieze on short round ionic columns.  Her son, John, inherited the home and lived there until 1978.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00050-01.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00050-03.jpg,Image credit: University of Notre Dame Architecture Library,,,,,Notable; Local Landmark,41.67601,-86.2636,57,nd-sb-00050
ND-SB-00052,Lewis House,1920,112 South Laurel St,American Foursquare,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0101.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0102.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.67566,-86.2636,54,nd-sb-00052
ND-SB-00053,Staples House,1892,120 South Laurel St,Gabled-ell,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0099.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0100.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.675514,-86.263561,52,nd-sb-00053
ND-SB-00054,Double House,1900,128 South Laurel St,American Foursquare,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0093.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0094.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Notable,41.67522,-86.263557,49,nd-sb-00054
ND-SB-00055,,1880,132 South Laurel St,Gabled-ell,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0091.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0092.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.675121,-86.263507,48,nd-sb-00055
ND-SB-00056,,1880,134 South Laurel St,Upright-and-wing,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0089.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0090.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.67504,-86.26358,47,nd-sb-00056
ND-SB-00057,,1880,916 West Washington,Queen Anne,,West Washington,,"The Isabelle Case House has been described as a Queen Anne/Neo-Jacobean styled home. It is a 2 storey residence with an irregular floor plan ""L"" shaped with jerkin head end, gable end with hood dormer tower around hipped gable tower with hooded dormers.  Unique architecture on West Washington and in South Bend.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00057-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00057-03.jpg,Image credit: University of Notre Dame Architecture Library,,,,,,41.675996,-86.263369,56,nd-sb-00057
ND-SB-00060,Copshaholm,1896,808 West Washington,Romanesque Revival,"Lamb & Rich, Architects",West Washington,,"The Joseph D. Oliver House ""Copshaholm"" is a magnificent Romanesque Revival Home designed by Charles Alonzo Rich of the architectural firm Lamb and Rich of New York City and patterned after ""Sagamore Hill"" in Long Island, located in the historic West Washington district. The design of the home features some Queen Anne and Shingle Style influences. The stone used in construction is all Indiana granite fieldstone from St. Joseph County with the sole exception being the pillars of the porch, which is granite from Vermont. The name Copshahlom was given by J.D. Oliver in honor of the birthplace of his father, James, in Copshaholm, Scotland. James was the original founder of the Oliver Plow Works. Bibliography Copshaholm: The Oliver Mansion. South Bend, Indiana: Northern Indiana Historical Society, 2013.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00060-01.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00060-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00060-03.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00060-04.jpg,Image credit: University of Notre Dame Architecture Library,Outstanding,41.67585,-86.262,40,nd-sb-00060
ND-SB-00061,,,808 West Washington (Carriage House),,,West Washington,,Copshaholm Carriage House is a Late Romanesque Revival structure with a steep gable roof; heavy cut granite stone walls with rectilinear coursing; double leaf wood panel door for vehicular access; voussoired stone arch over single leaf wood panel door with single cut stone lintel for pedestrian access. There are two conical towers on the Northeast and Northwest corners plus one conical tower above vehicle access. There is a four sided cupola on West balcony over vehicle access with wooden brackets and wooden shake siding.,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0040 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0041 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,,41.67541,-86.2623,41,nd-sb-00061
ND-SB-00062,,1879,121 South Chapin St,Italianate,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0112.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0113.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Outstanding,41.675438,-86.261753,36,nd-sb-00062
ND-SB-00063,,1880,125 South Chapin St,T-plan,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0114.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0115.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.67529,-86.261756,37,nd-sb-00063
ND-SB-00064,Dresden House,1884,127 South Chapin St,T-plan,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0116.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0117.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.675199,-86.261799,38,nd-sb-00064
ND-SB-00065,,1890,131 South Chapin St,Free Classic,"Charles A. Brehmer, Architect",West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0118.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0119.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.675083,-86.261764,39,nd-sb-00065
ND-SB-00067,,c.1980,919 West Thomas St,Side Gable,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0082.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0083.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Non-contributing,41.674457,-86.263484,44,nd-sb-00067
ND-SB-00068,Oliver House,1910,911 West Thomas St,Gable Front,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0080.jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/7-3-2014/DSC_0081.jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Notable,41.67446,-86.2632,43,nd-sb-00068
ND-SB-00078,,1888,146 LaPorte Ave,T-plan,,West Washington,,,,,,,,,,,Notable,41.67411,-86.262696,42,nd-sb-00078
ND-SB-00083,Tippecanoe Place,1889,620 West Washington,Richardsonian Romanesque,"Henry Ives Cobb, Architect",West Washington,,"The stately home of Clem Studebaker and his family was designed by Henry Ives Cobb and built by Christopher Fassnacht. The 26,000 square foot house was nealy lost in 1889 when a fire broke out. The home was saved and the damaged repaired. Today the Studebaker Home is the Tippecanoe Place Restaurant.",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00083-01.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00083-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00083-03.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00083-04.jpg,Image credit: University of Notre Dame Architecture Library,Outstanding,41.675674,-86.257826,16,nd-sb-00083
ND-SB-00084,,1886,630 West Washington,Queen Anne,,West Washington,,The graceful Ford Cunningham House was built in 1886 in the asymmetrical Queen Anne style that is so prevalent along West Washington but its whimscial design features make it unique. The home was remodeled by J. D. Oliver as a wedding gift to his daughter Josephine upon her marraige to George Ford. It was inherited by their niece Gertrude Oliver Cunningham. The House is now The Oliver Inn Bed and Breakfast.,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00084-02.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00084-04.jpg,Image credit: University of Notre Dame Architecture Library,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/ND-SB-00084-05.jpg,Image credit: University of Notre Dame Architecture Library,,,Outstanding; Local Landmark,41.67595,-86.2586,17,nd-sb-00084
ND-SB-00086,,1894,126 S. Scott St,Free Classic,"Parker & Austin, Architects",West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0046 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0047 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,Contributing,41.675339,-86.258773,111,nd-sb-00086
ND-SB-00087,Elthan Place,1917,128-132 S. Scott St,20th-century functional,"Ernest W. Young, Architect",West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0048 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",,,,,,,Contributing,41.675137,-86.258811,112,nd-sb-00087
ND-SB-00088,,1894,131 S. Taylor Street,Free Classic,"Robert Baunsdorf, Architect",West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0096 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0097 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/CfH-Past Perfect/1000-2000/Full/ph 598.jpg,Image credit: The History Museum,,,Notable,41.674923,-86.25774,100,nd-sb-00088
ND-SB-00089,,1910,222 S. Scott Street,20th-century functional,,West Washington,,,http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0056 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/WestWashington/DSC_0057 (2).jpg,"Image credit: University of Notre Dame, Architecture Library",http://documents.library.nd.edu/documents/arch-lib/South-Bend/CfH-Past Perfect/Located/ph 12258.jpg,Image credit: The History Museum,,,Contributing,41.674325,-86.258695,105,nd-sb-00089
